id	institutionCode	collectionCode	basisOfRecord	occurrenceID	organismQuantity	organismQuantityType	occurrenceStatus	eventDate	country	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	footprintWKT	scientificNameID	scientificName
REIS632	CMLRE	SS394	HumanObservation	REIS632			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:205332	Galaxea
REIS633	CMLRE	SS394	HumanObservation	REIS633			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:204799	Echinophyllia
REIS634	CMLRE	SS394	HumanObservation	REIS634			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:204799	Echinophyllia
REIS635	CMLRE	SS394	HumanObservation	REIS635			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:205476	Goniopora
REIS636	CMLRE	SS394	HumanObservation	REIS636			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:205476	Goniopora
REIS637	CMLRE	SS394	HumanObservation	REIS637			present	2019-12-24	India	Angria Bank	16	32	16.381	72.177			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS638	CMLRE	SS394	HumanObservation	REIS638			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS639	CMLRE	SS394	HumanObservation	REIS639			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS640	CMLRE	SS394	HumanObservation	REIS640			present	2019-12-25	India	Angria Bank	16	32	16.4	72.105			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS641	CMLRE	SS394	HumanObservation	REIS641			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS642	CMLRE	SS394	HumanObservation	REIS642			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS643	CMLRE	SS394	HumanObservation	REIS643			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS644	CMLRE	SS394	HumanObservation	REIS644			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:206485	Porites
REIS645	CMLRE	SS394	HumanObservation	REIS645			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206945	Alveopora
REIS646	CMLRE	SS394	HumanObservation	REIS646			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204591	Coscinaraea
REIS647	CMLRE	SS394	HumanObservation	REIS647			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS648	CMLRE	SS394	HumanObservation	REIS648			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS649	CMLRE	SS394	HumanObservation	REIS649			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS650	CMLRE	SS394	HumanObservation	REIS650			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS651	CMLRE	SS394	HumanObservation	REIS651			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS652	CMLRE	SS394	HumanObservation	REIS652			present	2019-12-27	India	Angria Bank	16	32	16.5838	72.0394			urn:lsid:marinespecies.org:taxname:204148	Psammocora
REIS653	CMLRE	SS394	HumanObservation	REIS653			present	2019-12-24	India	Angria Bank	16	32	16.367	72.155			urn:lsid:marinespecies.org:taxname:204973	Trachyphyllia
REIS654	CMLRE	SS394	HumanObservation	REIS654			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:204973	Trachyphyllia
REIS655	CMLRE	SS394	HumanObservation	REIS655			present	2019-12-25	India	Angria Bank	16	32	16.385	72.039			urn:lsid:marinespecies.org:taxname:204973	Trachyphyllia
REIS656	CMLRE	SS394	HumanObservation	REIS656			present	2019-12-26	India	Angria Bank	16	32	16.433	72.0597			urn:lsid:marinespecies.org:taxname:204973	Trachyphyllia
REIS657	CMLRE	SS394	HumanObservation	REIS657			present	2019-12-26	India	Angria Bank	16	32	16.48	72.0597			urn:lsid:marinespecies.org:taxname:204973	Trachyphyllia
REIS658	CMLRE	SS394	HumanObservation	REIS658			present	2019-12-24	India	Angria Bank	16	32	16.367	72.122			urn:lsid:marinespecies.org:taxname:206703	Euphyllia
REIS659	CMLRE	SS394	HumanObservation	REIS659	37	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:209944	Spirobranchus giganteus
REIS660	CMLRE	SS394	HumanObservation	REIS660	1	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:107034	Palaemonetes sp.
REIS661	CMLRE	SS394	HumanObservation	REIS661	2	individuals	present	2019-12-24/2019-12-27	India	Angria Bank	16	32	16.4806	72.0986	19649	POLYGON ((71.97418 16.53880, 72.09778 16.31223, 72.22137 16.41369, 72.18842 16.50193, 72.01126 16.63619, 71.97418 16.53880))	urn:lsid:marinespecies.org:taxname:100772	Phymanthus sp.
